a,b,theta,status,z
6.5,7.5,5,NotYet,0.0
3.5,13.2,5,NotYet,0.0
6.6,7.3,10,NotYet,0.0
3.5,13.1,10,NotYet,0.0
6.6,6.9,15,NotYet,0.0
3.7,12.7,15,NotYet,0.0
6.7,6.5,20,NotYet,0.0
3.8,12.3,20,NotYet,0.0
7.4,6.0,25,NotYet,0.0
3.9,12.0,25,NotYet,0.0
7.0,6.8,30,NotYet,0.0
8.3,5.6,30,NotYet,0.0
4.0,11.7,30,NotYet,0.0
7.0,7.0,35,NotYet,0.0
9.0,5.4,35,NotYet,0.0
4.2,11.4,35,NotYet,0.0
7.1,7.1,40,NotYet,0.0
9.7,5.1,40,NotYet,0.0
4.6,10.8,40,NotYet,0.0
7.1,7.1,45,NotYet,0.0
10.3,4.8,45,NotYet,0.0
4.8,10.3,45,NotYet,0.0
